Date,Top5_Stocks,Stocks_Sold,Stocks_Bought,Stocks_Held,Portfolio_Value
2023-07-31,"ADANIGREEN.NS, CIPLA.NS, COLPAL.NS, IPCALAB.NS, ZEEL.NS",,"ADANIGREEN.NS, CIPLA.NS, COLPAL.NS, IPCALAB.NS, ZEEL.NS","ADANIGREEN.NS, CIPLA.NS, COLPAL.NS, IPCALAB.NS, ZEEL.NS",50000.0
2023-08-31,"BHARATFORG.NS, CIPLA.NS, INFY.NS, M&M.NS, ZEEL.NS","ADANIGREEN.NS, COLPAL.NS, IPCALAB.NS","BHARATFORG.NS, INFY.NS, M&M.NS","BHARATFORG.NS, CIPLA.NS, INFY.NS, M&M.NS, ZEEL.NS",49632.44449828641
2023-09-30,"BAJAJ-AUTO.NS, COALINDIA.NS, LT.NS, NTPC.NS, ONGC.NS","BHARATFORG.NS, CIPLA.NS, INFY.NS, M&M.NS, ZEEL.NS","BAJAJ-AUTO.NS, COALINDIA.NS, LT.NS, NTPC.NS, ONGC.NS","BAJAJ-AUTO.NS, COALINDIA.NS, LT.NS, NTPC.NS, ONGC.NS",49181.55858488983
2023-10-31,"BAJAJ-AUTO.NS, COALINDIA.NS, COLPAL.NS, IPCALAB.NS, NESTLEIND.NS","LT.NS, NTPC.NS, ONGC.NS","COLPAL.NS, IPCALAB.NS, NESTLEIND.NS","BAJAJ-AUTO.NS, COALINDIA.NS, COLPAL.NS, IPCALAB.NS, NESTLEIND.NS",49312.384929021995
2023-11-30,"BPCL.NS, EICHERMOT.NS, HAL.NS, HEROMOTOCO.NS, IPCALAB.NS","BAJAJ-AUTO.NS, COALINDIA.NS, COLPAL.NS, NESTLEIND.NS","BPCL.NS, EICHERMOT.NS, HAL.NS, HEROMOTOCO.NS","BPCL.NS, EICHERMOT.NS, HAL.NS, HEROMOTOCO.NS, IPCALAB.NS",54266.112700704005
2023-12-31,"ADANIENT.NS, ADANIGREEN.NS, ADANIPORTS.NS, HAL.NS, NTPC.NS","BPCL.NS, EICHERMOT.NS, HEROMOTOCO.NS, IPCALAB.NS","ADANIENT.NS, ADANIGREEN.NS, ADANIPORTS.NS, NTPC.NS","ADANIENT.NS, ADANIGREEN.NS, ADANIPORTS.NS, HAL.NS, NTPC.NS",58160.72900338684
2024-01-31,"ADANIPORTS.NS, BAJAJ-AUTO.NS, BHARTIARTL.NS, ONGC.NS, SUNPHARMA.NS","ADANIENT.NS, ADANIGREEN.NS, HAL.NS, NTPC.NS","BAJAJ-AUTO.NS, BHARTIARTL.NS, ONGC.NS, SUNPHARMA.NS","ADANIPORTS.NS, BAJAJ-AUTO.NS, BHARTIARTL.NS, ONGC.NS, SUNPHARMA.NS",62457.60372602559
2024-02-29,"ADANIGREEN.NS, BPCL.NS, M&M.NS, SBIN.NS, SUNPHARMA.NS","ADANIPORTS.NS, BAJAJ-AUTO.NS, BHARTIARTL.NS, ONGC.NS","ADANIGREEN.NS, BPCL.NS, M&M.NS, SBIN.NS","ADANIGREEN.NS, BPCL.NS, M&M.NS, SBIN.NS, SUNPHARMA.NS",65301.17490534821
2024-03-31,"BAJAJ-AUTO.NS, BAJFINANCE.NS, INDIGO.NS, MARUTI.NS, TATASTEEL.NS","ADANIGREEN.NS, BPCL.NS, M&M.NS, SBIN.NS, SUNPHARMA.NS","BAJAJ-AUTO.NS, BAJFINANCE.NS, INDIGO.NS, MARUTI.NS, TATASTEEL.NS","BAJAJ-AUTO.NS, BAJFINANCE.NS, INDIGO.NS, MARUTI.NS, TATASTEEL.NS",65262.74425708527
2024-04-30,"BHARATFORG.NS, DIVISLAB.NS, EICHERMOT.NS, HAL.NS, M&M.NS","BAJAJ-AUTO.NS, BAJFINANCE.NS, INDIGO.NS, MARUTI.NS, TATASTEEL.NS","BHARATFORG.NS, DIVISLAB.NS, EICHERMOT.NS, HAL.NS, M&M.NS","BHARATFORG.NS, DIVISLAB.NS, EICHERMOT.NS, HAL.NS, M&M.NS",66532.91714856701
2024-05-31,"ADANIENT.NS, BHARATFORG.NS, HAL.NS, HEROMOTOCO.NS, M&M.NS","DIVISLAB.NS, EICHERMOT.NS","ADANIENT.NS, HEROMOTOCO.NS","ADANIENT.NS, BHARATFORG.NS, HAL.NS, HEROMOTOCO.NS, M&M.NS",74068.10280467369
2024-06-30,"GRASIM.NS, M&M.NS, ULTRACEMCO.NS, UPL.NS, WIPRO.NS","ADANIENT.NS, BHARATFORG.NS, HAL.NS, HEROMOTOCO.NS","GRASIM.NS, ULTRACEMCO.NS, UPL.NS, WIPRO.NS","GRASIM.NS, M&M.NS, ULTRACEMCO.NS, UPL.NS, WIPRO.NS",77603.18706767722
2024-07-31,"COLPAL.NS, HDFCLIFE.NS, INFY.NS, ONGC.NS, SBILIFE.NS","GRASIM.NS, M&M.NS, ULTRACEMCO.NS, UPL.NS, WIPRO.NS","COLPAL.NS, HDFCLIFE.NS, INFY.NS, ONGC.NS, SBILIFE.NS","COLPAL.NS, HDFCLIFE.NS, INFY.NS, ONGC.NS, SBILIFE.NS",78699.08442893712
2024-08-31,"BAJAJ-AUTO.NS, BAJAJFINSV.NS, BHARTIARTL.NS, CIPLA.NS, INDIGO.NS","COLPAL.NS, HDFCLIFE.NS, INFY.NS, ONGC.NS, SBILIFE.NS","BAJAJ-AUTO.NS, BAJAJFINSV.NS, BHARTIARTL.NS, CIPLA.NS, INDIGO.NS","BAJAJ-AUTO.NS, BAJAJFINSV.NS, BHARTIARTL.NS, CIPLA.NS, INDIGO.NS",80620.9085479796
